fitmethod,antigenicdist,aaver,adjver,featureType,protein_name,serum,lower,Median,upper
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2000/06013/00,0.788046426368917,0.8111345310887172,0.832941071281273
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2001/02860/01,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2001/02900/01,0.6940002001986778,0.7188517442880265,0.7443309178775641
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2001/03244/01,2.152624492677851,2.1847584255479564,2.22271011552165
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2001/03693/01,1.1823686991596178,1.212616639774346,1.2450995859747023
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2001/06096/01,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2002/00060/02,0.9186403466536497,0.9443980636404538,0.9700247811440259
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2002/01050/02,1.1735173287207916,1.1961312581266492,1.22313166814425
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2002/02678/02,1.4806459841139938,1.5042159345145536,1.532407684615153
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2002/02934/02,1.601993387133625,1.6276419311593153,1.666927829850719
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2003/01082/03,0,0.007096645012410583,0.03849670851654134
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/00159/04,0.9206782831034279,0.9769425986476958,1.0169329408090872
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/00248/04,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/00560/04,0.38389188498819987,0.4190608393079177,0.44862531319206517
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/00617/04,1.9126710098541095,1.9569578260987575,2.006135765327558
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/01224/04,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/01462/04,0.17901153106479573,0.22047113902713278,0.24803511317468102
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/01646/04,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2004/01666/04,0.581724823723053,0.5982238112870848,0.6171188330437131
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2005/01495/05,1.0197629010367242,1.0563975164352835,1.1026202872173103
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2005/01574/05,1.5496099085542063,1.5920376292120821,1.6310953636478267
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00036/06,0.4426139918399693,0.46577820185141755,0.4845566109074043
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00127/06,1.4495278944555108,1.4792163952803548,1.5220972861735849
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00444/06,1.3439106343747265,1.3738754207714359,1.406824135488871
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00525/06,0.3137517422727589,0.3341143952191773,0.3533861882930447
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00586/06,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00697/06,0.603618208582212,0.6240959790982099,0.657920006389026
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/02337/06,2.2188507276260183,2.2505458833712404,2.2854543753073244
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00408/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00496/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00511/07,2.0682229239186194,2.0907470567302284,2.1303320014255562
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/02039/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/02071/07,1.2962657615276123,1.3334681517645741,1.3641343702632565
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/00791/10,1.453847062553673,1.4864503851137205,1.5172745063142852
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/01066/10,0.35387589028115873,0.44417782227517794,0.5055873755089323
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/01363/10,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/01549/10,0.7712512729575354,0.8250500887211516,0.8841102044566899
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2011/00220/11,0.03314397874428266,0.08530439579002955,0.14361392587109248
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2011/00322/11,0.6772130612772613,0.7526054377898621,0.8431254863096143
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2011/00556/11,0.22358298242882318,0.2679958379642644,0.31433097793366793
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2011/01220/11,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2012/00144/12,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2012/00258/12,0.6419388027622007,0.6604053539959049,0.6812363698233868
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2012/01090/12,0.9996816813011957,1.084370726898724,1.1687101416323258
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2012/01113/12,1.7804419163325325,1.8544902844069404,1.9270038517087869
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2013/00058/13,0.7764529104462565,0.8444500409928966,0.9032716933055787
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2013/00280/13,0.7423869286668074,0.791790537378849,0.8394185749243104
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2013/00662/13,0.6596089284258164,0.7066846292315659,0.7491992218418406
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2013/00696/13,1.124601997985614,1.1556845641553335,1.1853178610587811
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2014/00016/14,0.5878586598550644,0.6173079405626574,0.6568793062985486
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2014/00740/14,0.26538357094407883,0.3550119570453229,0.411360981822822
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1994/00128/94,1.130091777708177,1.1641594794830756,1.2013841156330036
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1994/00255/94,0.7125280435970951,0.7359318565572355,0.7647282879925337
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1994/00831/94,0.5145339592092907,0.5459769391620037,0.585847142664894
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1994/01311/94,0.7519187446943976,0.7855816223774572,0.8231658811169209
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1995/00247/95,0.5953370634974919,0.6693581131955504,0.7418663857351486
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1995/00631/95,0.3778434383732283,0.4026102172190867,0.4308608136758898
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1995/00780/95,1.5136476254085816,1.5535778145341528,1.5932495377399638
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1995/01296/95,0.024909139894334766,0.10952000480740079,0.2017204672638684
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1995/01658/95,1.5492689892968565,1.6048119895152493,1.653006761065027
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1996/00833/96,0.4235502434270728,0.4744519153500911,0.5369366222911123
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1996/01528/96,0.6670633620462685,0.7058790136325792,0.7542523346503651
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1996/01720/96,0.40803259970877825,0.42924068182084063,0.45509424048569064
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1996/01941/96,0.5859258498439173,0.6100756547406239,0.6356551710355212
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1997/03080/97,0.16568900931530528,0.3023721719322128,0.38200957631155213
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/00317/98,0.08755198253609126,0.12341506718357134,0.16031624919821458
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/00596/98,1.0483056107785615,1.0921696677456652,1.145950311756566
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/02434/98,0.447085086261505,0.4843609071207658,0.5155319307174031
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/02551/98,0.08824235462800717,0.11421894033937721,0.1390519281910624
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/04187/98,0.2146001941623234,0.24470616911446857,0.26772467359180785
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/04331/98,0.6653577800283489,0.7263808588699348,0.7809144330175907
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/04946/98,0,0,0.01474064858883929
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/1998/06070/98,0.35434733334363344,0.37775448141120216,0.3999173963545055
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/02029/00,0.5413721791681161,0.577414177507916,0.6182647311305925
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/02080/00,1.3759073973078824,1.4258272757263732,1.4813423435995325
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/02242/00,1.182096117540199,1.2415062161787134,1.292094506462159
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/05443/00,1.2149909364351932,1.2672441407509687,1.3107401689558869
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/05499/00,0.9030255799944928,0.9412558352366993,0.9754019622043755
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/05815/00,0.7001543465112905,0.7436562768586288,0.793620735433856
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2000/06135/00,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/00152/01,0.4711291029304997,0.5062452522395817,0.534020613921045
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/00929/01,0,0.014741728014487008,0.08973169189985561
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/00984/01,0.8992389866050651,0.9234103319016573,0.9558317447634725
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/03291/01,0.9145824566282336,0.9678097180700109,1.0117402516255969
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/04045/01,0.658183973048821,0.6925817180248666,0.725964360344479
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/04945/01,0.6054869967091983,0.6427997982970224,0.6817676839745328
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/05611/01,0.24008546628362804,0.31299758230269814,0.37781061125119486
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2001/06503/01,0.8018624928455966,0.8436940860539952,0.8825157509575028
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00059/02,0,0.01113927409969663,0.057363680202808236
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00104/02,1.0304695311924168,1.061199869964672,1.088371695203708
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00145/02,1.0362061049113187,1.0614601934296166,1.0971055856243992
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00501/02,0.23084806882078962,0.2685024185703624,0.30963179292752224
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00536/02,0.23162271725147726,0.2947194877506752,0.3585357533600988
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/00767/02,0.7741148267040017,0.8646479240579199,0.9456744289940394
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/02173/02,1.0903739814125437,1.1221945936275841,1.1520981912093515
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2002/03135/02,0.6967041789496198,0.7378069488532212,0.774707859810139
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2003/01619/03,0.3195872738903653,0.3709387490153079,0.43730384586008075
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2003/02208/03,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/00441/04,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/00602/04,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/00991/04,0.5601765462811683,0.5933865307897096,0.6272794511764517
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/01144/04,0.9544594485134192,0.9895275668728918,1.026766303246906
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/01184/04,0.5235318019780667,0.5563229453417617,0.5861110229604285
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2004/01393/04,0.0658913390946842,0.11317074065663746,0.15935295594933954
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2005/00806/05,0.7077727676735218,0.7421675546992272,0.7682425187503842
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2005/01491/05,0.5246886196069027,0.5519622436715963,0.5736349311822722
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/00018/06,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/00588/06,0.2635494896409171,0.303267080542215,0.35434962268174425
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/01067/06,0.45889534511754876,0.47757521492527133,0.5016576404550461
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/01128/06,1.0635096405468878,1.1001818818451543,1.1378365124502752
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/01373/06,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/01375/06,1.3759754491906118,1.403630100325449,1.444351406017118
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02042/06,0.5384738563886589,0.5614754648139819,0.591164491331992
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02121/06,0.7204324189610724,0.8527280412891363,1.0072568595698463
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02341/06,0.41795652278153966,0.4439535900990489,0.47478259250076893
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02485/06,0,0.09513854483556483,0.27928337274343085
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02678/06,2.3977092870106371e-4,0.04823492619653078,0.10035653010992437
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV3/THAILAND/2006/02784/06,1.0104076054990043,1.034904597934898,1.0610542923717001
